127.0.0.1:35098 13:39:22.560716 raft.go:153: logger initialized
127.0.0.1:35098 13:39:22.560872 raft.go:169: gestionarSeguidor()
127.0.0.1:35098 13:39:22.560936 raft.go:172: Timeout  286ms
127.0.0.1:35098 13:39:22.820955 raft.go:471: PedirVoto()
127.0.0.1:35098 13:39:22.820985 raft.go:472: 0 mirando voto 1
127.0.0.1:35098 13:39:22.821063 raft.go:176: Latido
127.0.0.1:35098 13:39:22.872622 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:22.872784 raft.go:176: Latido
127.0.0.1:35098 13:39:23.024991 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:23.159620 raft.go:400: iniciarElecion()
127.0.0.1:35098 13:39:23.227066 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:23.428782 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:23.630602 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:23.832227 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:24.034279 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:24.236164 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:24.438090 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:24.639948 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:24.841952 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:25.043807 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:25.245907 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:25.447954 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:25.649046 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:25.851160 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:26.052721 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:26.254571 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:26.456135 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:26.658050 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:26.859758 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:27.061945 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:27.263975 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:27.465545 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:27.667338 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:27.869082 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:28.071024 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:28.272974 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:28.474616 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:28.676341 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:28.878581 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:29.079573 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:29.281425 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:29.483017 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:29.684875 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:29.886316 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:30.087993 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:30.290546 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:30.492248 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:30.694149 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:30.896037 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:31.097909 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:31.299778 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:31.501767 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:31.703281 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:31.905252 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:32.106683 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:32.308347 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:32.510286 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:32.711582 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:32.913513 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:33.114906 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:33.316830 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:33.519008 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:33.721070 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:33.922804 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:34.124589 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:34.325974 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:34.527883 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:34.729170 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:34.931018 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:35.133168 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:35.335123 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:35.537010 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:35.738890 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:35.940715 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:36.142324 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:36.344291 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:36.546037 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:36.747630 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:36.949668 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:37.151457 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:37.353247 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:37.555101 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:37.756946 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:37.959060 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:38.160857 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:38.362865 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:38.564307 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:38.766110 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:38.967886 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:39.169997 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:39.371507 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:39.573215 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:39.774232 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:39.975934 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:40.177945 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:40.378956 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:40.580836 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:40.782951 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:40.984773 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:41.186296 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:41.388214 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:41.589940 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:41.791586 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:41.993789 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:42.195774 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:42.397252 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:42.599404 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:42.801016 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:43.002698 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:43.204344 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:43.405724 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:43.607723 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:43.809446 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:44.011599 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:44.213479 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:44.415742 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:44.617202 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:44.818968 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:45.020754 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:45.222517 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:45.424219 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:45.626431 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:45.828066 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:46.029905 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:46.231584 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:46.433168 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:46.634999 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:46.837041 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:47.038944 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:47.241155 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:47.443010 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:47.644789 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:47.846348 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:48.047987 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:48.249660 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:48.451535 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:48.653386 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:48.855294 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:49.057144 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:49.259018 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:49.461145 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:49.662873 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:49.864873 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:50.066369 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:50.268050 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:50.470302 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:50.672231 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:50.873830 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:51.075575 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:51.277531 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:51.479163 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:51.680860 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:51.882819 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:52.083302 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:52.285235 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:52.486853 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:52.688223 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:52.889620 raft.go:268: AppendEntry()
127.0.0.1:35098 13:39:53.091922 raft.go:268: AppendEntry()
