127.0.0.1_30010 -> 10:57:42.858348 raft.go:53: logger initialized
127.0.0.1_30010 -> 10:57:42.858457 raft.go:244: Soy seguidor
127.0.0.1_30010 -> 10:57:42.858532 raft.go:246: El timeout es de  158ms
127.0.0.1_30010 -> 10:57:43.016841 raft.go:304: Soy candidato
127.0.0.1_30010 -> 10:57:43.017707 raft.go:175: RequestVote to  1 <nil>
127.0.0.1_30010 -> 10:57:43.018164 raft.go:175: RequestVote to  2 <nil>
127.0.0.1_30010 -> 10:57:43.018176 raft.go:299: Votos confirmados 3
127.0.0.1_30010 -> 10:57:43.018180 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.069251 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.120207 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.170548 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.221621 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.272886 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.323720 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.374479 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.425469 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.475872 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.526649 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.577480 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.627586 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.678035 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.728889 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.779005 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.829400 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.880258 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.930575 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:43.981030 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.031278 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.082123 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.132392 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.183514 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.234015 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.285029 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.335973 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.386908 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.437241 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.487753 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.538112 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.588254 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.638668 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.689166 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.739580 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.789787 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.840158 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.890570 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.941185 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:44.992263 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.042826 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.093342 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.143811 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.194148 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.244461 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.294807 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.345180 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.395671 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.445873 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.496328 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.546826 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.597321 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.648046 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.698610 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.749588 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.799814 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.850963 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.901464 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:45.951920 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.002085 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.052659 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.103061 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.153450 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.203850 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.254026 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.304599 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.355809 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.406393 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.456863 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.507116 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.557505 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.607940 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.658450 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.708859 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.759050 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.809456 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.859741 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.910053 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:46.960945 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.011333 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.061699 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.112303 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.162820 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.213362 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.263743 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.314114 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.364787 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.415544 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.466133 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.516616 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.567190 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.617593 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.668184 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.718603 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.769262 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.819713 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.869983 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.920241 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:47.971267 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.021868 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.072452 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.123013 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.173549 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.223792 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.274167 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.324533 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.374815 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.425304 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.475747 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.526326 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.576814 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.627256 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.677692 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.728014 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.778739 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.829134 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.879456 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.929955 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:48.980312 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.031195 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.081680 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.132127 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.182818 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.233077 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.283442 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.333734 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.384209 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.434361 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.484543 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.534962 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.585687 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.636435 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.686987 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.737613 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.788387 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.838811 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.889265 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.939627 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:49.990467 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:50.040723 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:50.091867 raft.go:314: Soy lider
127.0.0.1_30010 -> 10:57:50.142277 raft.go:314: Soy lider
